championAId,championAName,championALaneKillRate,championBId,championBName,championBLaneKillRate,laneKillDiff,favoredChampionId,favoredChampionName,favoredLaneKillRate,sampledDirections
aatrox,Aatrox,48.84,akali,Akali,51.16,2.32,akali,Akali,51.16,2
aatrox,Aatrox,48.29,ambessa,Ambessa,51.71,3.42,ambessa,Ambessa,51.71,2
aatrox,Aatrox,55.63,anivia,Anivia,44.37,11.26,aatrox,Aatrox,55.63,2
aatrox,Aatrox,40.68,aurora,Aurora,59.32,18.64,aurora,Aurora,59.32,2
aatrox,Aatrox,52.1,camille,Camille,47.9,4.2,aatrox,Aatrox,52.1,2
aatrox,Aatrox,53.15,darius,Darius,46.85,6.3,aatrox,Aatrox,53.15,2
aatrox,Aatrox,59.59,drmundo,Dr. Mundo,40.41,19.18,aatrox,Aatrox,59.59,2
aatrox,Aatrox,51.28,fiora,Fiora,48.72,2.56,aatrox,Aatrox,51.28,2
aatrox,Aatrox,58.2,gangplank,Gangplank,41.8,16.4,aatrox,Aatrox,58.2,2
aatrox,Aatrox,54.14,garen,Garen,45.86,8.28,aatrox,Aatrox,54.14,2
aatrox,Aatrox,53.9,gnar,Gnar,46.1,7.8,aatrox,Aatrox,53.9,2
aatrox,Aatrox,50.69,gragas,Gragas,49.31,1.38,aatrox,Aatrox,50.69,2
aatrox,Aatrox,55.51,gwen,Gwen,44.49,11.02,aatrox,Aatrox,55.51,2
aatrox,Aatrox,52.69,heimerdinger,Heimerdinger,47.31,5.38,aatrox,Aatrox,52.69,2
aatrox,Aatrox,55.46,illaoi,Illaoi,44.54,10.92,aatrox,Aatrox,55.46,2
aatrox,Aatrox,51.64,irelia,Irelia,48.36,3.28,aatrox,Aatrox,51.64,2
aatrox,Aatrox,51.36,jax,Jax,48.64,2.72,aatrox,Aatrox,51.36,2
aatrox,Aatrox,56.13,jayce,Jayce,43.87,12.26,aatrox,Aatrox,56.13,2
aatrox,Aatrox,59.21,kayle,Kayle,40.79,18.42,aatrox,Aatrox,59.21,2
aatrox,Aatrox,47.91,kennen,Kennen,52.09,4.18,kennen,Kennen,52.09,2
aatrox,Aatrox,48.85,kled,Kled,51.15,2.3,kled,Kled,51.15,2
aatrox,Aatrox,45.24,ksante,K'Sante,54.76,9.52,ksante,K'Sante,54.76,2
aatrox,Aatrox,61.2,lissandra,Lissandra,38.8,22.4,aatrox,Aatrox,61.2,2
aatrox,Aatrox,44.48,locke,Locke,55.52,11.04,locke,Locke,55.52,2
aatrox,Aatrox,39.7,malphite,Malphite,60.3,20.6,malphite,Malphite,60.3,2
aatrox,Aatrox,47.42,monkeyking,Wukong,52.58,5.16,monkeyking,Wukong,52.58,2
aatrox,Aatrox,50.63,mordekaiser,Mordekaiser,49.37,1.26,aatrox,Aatrox,50.63,2
aatrox,Aatrox,58.38,nasus,Nasus,41.62,16.76,aatrox,Aatrox,58.38,2
aatrox,Aatrox,54.7,olaf,Olaf,45.3,9.4,aatrox,Aatrox,54.7,2
aatrox,Aatrox,49.79,ornn,Ornn,50.21,0.42,ornn,Ornn,50.21,2
aatrox,Aatrox,47.35,pantheon,Pantheon,52.65,5.3,pantheon,Pantheon,52.65,2
aatrox,Aatrox,49.56,poppy,Poppy,50.44,0.88,poppy,Poppy,50.44,2
aatrox,Aatrox,60.07,quinn,Quinn,39.93,20.14,aatrox,Aatrox,60.07,2
aatrox,Aatrox,50.28,renekton,Renekton,49.72,0.56,aatrox,Aatrox,50.28,2
aatrox,Aatrox,52.15,riven,Riven,47.85,4.3,aatrox,Aatrox,52.15,2
aatrox,Aatrox,49.6,rumble,Rumble,50.4,0.8,rumble,Rumble,50.4,2
aatrox,Aatrox,58.63,ryze,Ryze,41.37,17.26,aatrox,Aatrox,58.63,2
aatrox,Aatrox,52.91,sett,Sett,47.09,5.82,aatrox,Aatrox,52.91,2
aatrox,Aatrox,51.07,shen,Shen,48.93,2.14,aatrox,Aatrox,51.07,2
aatrox,Aatrox,58.52,singed,Singed,41.48,17.04,aatrox,Aatrox,58.52,2
aatrox,Aatrox,57.32,sion,Sion,42.68,14.64,aatrox,Aatrox,57.32,2
aatrox,Aatrox,50.76,tahmkench,Tahm Kench,49.24,1.52,aatrox,Aatrox,50.76,2
aatrox,Aatrox,57.5,teemo,Teemo,42.5,15.0,aatrox,Aatrox,57.5,2
aatrox,Aatrox,52.33,tryndamere,Tryndamere,47.67,4.66,aatrox,Aatrox,52.33,2
aatrox,Aatrox,54.2,urgot,Urgot,45.8,8.4,aatrox,Aatrox,54.2,2
aatrox,Aatrox,62.36,vayne,Vayne,37.64,24.72,aatrox,Aatrox,62.36,2
aatrox,Aatrox,54.53,vladimir,Vladimir,45.47,9.06,aatrox,Aatrox,54.53,2
aatrox,Aatrox,53.49,volibear,Volibear,46.51,6.98,aatrox,Aatrox,53.49,2
aatrox,Aatrox,49.51,warwick,Warwick,50.49,0.98,warwick,Warwick,50.49,2
aatrox,Aatrox,56.03,yasuo,Yasuo,43.97,12.06,aatrox,Aatrox,56.03,2
aatrox,Aatrox,57.41,yone,Yone,42.59,14.82,aatrox,Aatrox,57.41,2
aatrox,Aatrox,50.83,yorick,Yorick,49.17,1.66,aatrox,Aatrox,50.83,2
aatrox,Aatrox,53.77,zaahen,Zaahen,46.23,7.54,aatrox,Aatrox,53.77,2
aatrox,Aatrox,47.65,zac,Zac,52.35,4.7,zac,Zac,52.35,2
akali,Akali,50.87,ambessa,Ambessa,49.13,1.74,akali,Akali,50.87,2
akali,Akali,48.88,anivia,Anivia,51.12,2.24,anivia,Anivia,51.12,2
akali,Akali,55.84,aurora,Aurora,44.16,11.68,akali,Akali,55.84,2
akali,Akali,52.29,camille,Camille,47.71,4.58,akali,Akali,52.29,2
akali,Akali,52.22,darius,Darius,47.78,4.44,akali,Akali,52.22,2
